Name,Type_1,Type_2,Pokedex_Entry,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Abilities,Ability_1,Ability_2,Hidden_Ability
Noctowl,Normal,Flying,0164,452,100,50,50,86,96,70,"Insomnia, Keen Eye, Tinted Lens",Insomnia,Keen Eye,Tinted Lens
Ledyba,Bug,Flying,0165,265,40,20,30,40,80,55,"Swarm, Early Bird, Rattled",Swarm,Early Bird,Rattled
Ledian,Bug,Flying,0166,390,55,35,50,55,110,85,"Swarm, Early Bird, Iron Fist",Swarm,Early Bird,Iron Fist
Spinarak,Bug,Poison,0167,250,40,60,40,40,40,30,"Swarm, Insomnia, Sniper",Swarm,Insomnia,Sniper
Ariados,Bug,Poison,0168,400,70,90,70,60,70,40,"Swarm, Insomnia, Sniper",Swarm,Insomnia,Sniper
Crobat,Poison,Flying,0169,535,85,90,80,70,80,130,"Inner Focus, Infiltrator",Inner Focus,,Infiltrator
Chinchou,Water,Electric,0170,330,75,38,38,56,56,67,"Volt Absorb, Illuminate, Water Absorb",Volt Absorb,Illuminate,Water Absorb
Lanturn,Water,Electric,0171,460,125,58,58,76,76,67,"Volt Absorb, Illuminate, Water Absorb",Volt Absorb,Illuminate,Water Absorb
Pichu,Electric,,0172,205,20,40,15,35,35,60,"Static, Lightning Rod",Static,,Lightning Rod
Cleffa,Fairy,,0173,218,50,25,28,45,55,15,"Cute Charm, Magic Guard, Friend Guard",Cute Charm,Magic Guard,Friend Guard
Igglybuff,Normal,Fairy,0174,210,90,30,15,40,20,15,"Cute Charm, Competitive, Friend Guard",Cute Charm,Competitive,Friend Guard
Togepi,Fairy,,0175,245,35,20,65,40,65,20,"Hustle, Serene Grace, Super Luck",Hustle,Serene Grace,Super Luck
Togetic,Fairy,Flying,0176,405,55,40,85,80,105,40,"Hustle, Serene Grace, Super Luck",Hustle,Serene Grace,Super Luck
Natu,Psychic,Flying,0177,320,40,50,45,70,45,70,"Synchronize, Early Bird, Magic Bounce",Synchronize,Early Bird,Magic Bounce
Xatu,Psychic,Flying,0178,470,65,75,70,95,70,95,"Synchronize, Early Bird, Magic Bounce",Synchronize,Early Bird,Magic Bounce
Mareep,Electric,,0179,280,55,40,40,65,45,35,"Static, Plus",Static,,Plus
Flaaffy,Electric,,0180,365,70,55,55,80,60,45,"Static, Plus",Static,,Plus
Ampharos,Electric,,0181,510,90,75,85,115,90,55,"Static, Plus",Static,,Plus
Ampharos Mega Ampharos,Electric,Dragon,0181,610,90,95,105,165,110,45,Mold Breaker,Mold Breaker,,
Bellossom,Grass,,0182,490,75,80,95,90,100,50,"Chlorophyll, Healer",Chlorophyll,,Healer
Marill,Water,Fairy,0183,250,70,20,50,20,50,40,"Thick Fat, Huge Power, Sap Sipper",Thick Fat,Huge Power,Sap Sipper
Azumarill,Water,Fairy,0184,420,100,50,80,60,80,50,"Thick Fat, Huge Power, Sap Sipper",Thick Fat,Huge Power,Sap Sipper
Sudowoodo,Rock,,0185,410,70,100,115,30,65,30,"Sturdy, Rock Head, Rattled",Sturdy,Rock Head,Rattled
Politoed,Water,,0186,500,90,75,75,90,100,70,"Water Absorb, Damp, Drizzle",Water Absorb,Damp,Drizzle
Hoppip,Grass,Flying,0187,250,35,35,40,35,55,50,"Chlorophyll, Leaf Guard, Infiltrator",Chlorophyll,Leaf Guard,Infiltrator
Skiploom,Grass,Flying,0188,340,55,45,50,45,65,80,"Chlorophyll, Leaf Guard, Infiltrator",Chlorophyll,Leaf Guard,Infiltrator
Jumpluff,Grass,Flying,0189,460,75,55,70,55,95,110,"Chlorophyll, Leaf Guard, Infiltrator",Chlorophyll,Leaf Guard,Infiltrator
Aipom,Normal,,0190,360,55,70,55,40,55,85,"Run Away, Pickup, Skill Link",Run Away,Pickup,Skill Link
Sunkern,Grass,,0191,180,30,30,30,30,30,30,"Chlorophyll, Solar Power, Early Bird",Chlorophyll,Solar Power,Early Bird
Sunflora,Grass,,0192,425,75,75,55,105,85,30,"Chlorophyll, Solar Power, Early Bird",Chlorophyll,Solar Power,Early Bird
Yanma,Bug,Flying,0193,390,65,65,45,75,45,95,"Speed Boost, Compoundeyes, Frisk",Speed Boost,Compoundeyes,Frisk
Wooper,Water,Ground,0194,210,55,45,45,25,25,15,"Damp, Water Absorb, Unaware",Damp,Water Absorb,Unaware
Wooper Paldean Wooper,Poison,Ground,0194,210,55,45,45,25,25,15,"Poison Point, Water Absorb, Unaware",Poison Point,Water Absorb,Unaware
Quagsire,Water,Ground,0195,430,95,85,85,65,65,35,"Damp, Water Absorb, Unaware",Damp,Water Absorb,Unaware
Espeon,Psychic,,0196,525,65,65,60,130,95,110,"Synchronize, Magic Bounce",Synchronize,,Magic Bounce
Umbreon,Dark,,0197,525,95,65,110,60,130,65,"Synchronize, Inner Focus",Synchronize,,Inner Focus
Murkrow,Dark,Flying,0198,405,60,85,42,85,42,91,"Insomnia, Super Luck, Prankster",Insomnia,Super Luck,Prankster
Slowking,Water,Psychic,0199,490,95,75,80,100,110,30,"Oblivious, Own Tempo, Regenerator",Oblivious,Own Tempo,Regenerator
Slowking Galarian Slowking,Poison,Psychic,0199,490,95,65,80,110,110,30,"Curious Medicine, Own Tempo, Regenerator",Curious Medicine,Own Tempo,Regenerator
Misdreavus,Ghost,,0200,435,60,60,60,85,85,85,Levitate,Levitate,,
Unown,Psychic,,0201,336,48,72,48,72,48,48,Levitate,Levitate,,
Wobbuffet,Psychic,,0202,405,190,33,58,33,58,33,"Shadow Tag, Telepathy",Shadow Tag,,Telepathy
Girafarig,Normal,Psychic,0203,455,70,80,65,90,65,85,"Inner Focus, Early Bird, Sap Sipper",Inner Focus,Early Bird,Sap Sipper
Pineco,Bug,,0204,290,50,65,90,35,35,15,"Sturdy, Overcoat",Sturdy,,Overcoat
Forretress,Bug,Steel,0205,465,75,90,140,60,60,40,"Sturdy, Overcoat",Sturdy,,Overcoat
Dunsparce,Normal,,0206,415,100,70,70,65,65,45,"Serene Grace, Run Away, Rattled",Serene Grace,Run Away,Rattled
Gligar,Ground,Flying,0207,430,65,75,105,35,65,85,"Hyper Cutter, Sand Veil, Immunity",Hyper Cutter,Sand Veil,Immunity
Steelix,Steel,Ground,0208,510,75,85,200,55,65,30,"Rock Head, Sturdy, Sheer Force",Rock Head,Sturdy,Sheer Force
Steelix Mega Steelix,Steel,Ground,0208,610,75,125,230,55,95,30,Sand Force,Sand Force,,
Snubbull,Fairy,,0209,300,60,80,50,40,40,30,"Intimidate, Run Away, Rattled",Intimidate,Run Away,Rattled
Granbull,Fairy,,0210,450,90,120,75,60,60,45,"Intimidate, Quick Feet, Rattled",Intimidate,Quick Feet,Rattled
Qwilfish,Water,Poison,0211,440,65,95,85,55,55,85,"Poison Point, Swift Swim, Intimidate",Poison Point,Swift Swim,Intimidate
Qwilfish Hisuian Qwilfish,Dark,Poison,0211,440,65,95,85,55,55,85,"Poison Point, Swift Swim, Intimidate",Poison Point,Swift Swim,Intimidate
Scizor,Bug,Steel,0212,500,70,130,100,55,80,65,"Swarm, Technician, Light Metal",Swarm,Technician,Light Metal
Scizor Mega Scizor,Bug,Steel,0212,600,70,150,140,65,100,75,Technician,Technician,,
Shuckle,Bug,Rock,0213,505,20,10,230,10,230,5,"Sturdy, Gluttony, Contrary",Sturdy,Gluttony,Contrary
Heracross,Bug,Fighting,0214,500,80,125,75,40,95,85,"Swarm, Guts, Moxie",Swarm,Guts,Moxie
Heracross Mega Heracross,Bug,Fighting,0214,600,80,185,115,40,105,75,Skill Link,Skill Link,,
Sneasel,Dark,Ice,0215,430,55,95,55,35,75,115,"Inner Focus, Keen Eye, Pickpocket",Inner Focus,Keen Eye,Pickpocket
Sneasel Hisuian Sneasel,Fighting,Poison,0215,430,55,95,55,35,75,115,"Inner Focus, Keen Eye, Pickpocket",Inner Focus,Keen Eye,Pickpocket
Teddiursa,Normal,,0216,330,60,80,50,50,50,40,"Pickup, Quick Feet, Honey Gather",Pickup,Quick Feet,Honey Gather
Ursaring,Normal,,0217,500,90,130,75,75,75,55,"Guts, Quick Feet, Unnerve",Guts,Quick Feet,Unnerve
Slugma,Fire,,0218,250,40,40,40,70,40,20,"Magma Armor, Flame Body, Weak Armor",Magma Armor,Flame Body,Weak Armor
Magcargo,Fire,Rock,0219,430,60,50,120,90,80,30,"Magma Armor, Flame Body, Weak Armor",Magma Armor,Flame Body,Weak Armor
Swinub,Ice,Ground,0220,250,50,50,40,30,30,50,"Oblivious, Snow Cloak, Thick Fat",Oblivious,Snow Cloak,Thick Fat
Piloswine,Ice,Ground,0221,450,100,100,80,60,60,50,"Oblivious, Snow Cloak, Thick Fat",Oblivious,Snow Cloak,Thick Fat
Corsola,Water,Rock,0222,410,65,55,95,65,95,35,"Hustle, Natural Cure, Regenerator",Hustle,Natural Cure,Regenerator
Corsola Galarian Corsola,Ghost,,0222,410,60,55,100,65,100,30,"Weak Armor, Cursed Body",Weak Armor,,Cursed Body
Remoraid,Water,,0223,300,35,65,35,65,35,65,"Hustle, Sniper, Moody",Hustle,Sniper,Moody
Octillery,Water,,0224,480,75,105,75,105,75,45,"Suction Cups, Sniper, Moody",Suction Cups,Sniper,Moody
Delibird,Ice,Flying,0225,330,45,55,45,65,45,75,"Vital Spirit, Hustle, Insomnia",Vital Spirit,Hustle,Insomnia
Mantine,Water,Flying,0226,485,85,40,70,80,140,70,"Swift Swim, Water Absorb, Water Veil",Swift Swim,Water Absorb,Water Veil
Skarmory,Steel,Flying,0227,465,65,80,140,40,70,70,"Keen Eye, Sturdy, Weak Armor",Keen Eye,Sturdy,Weak Armor
Houndour,Dark,Fire,0228,330,45,60,30,80,50,65,"Early Bird, Flash Fire, Unnerve",Early Bird,Flash Fire,Unnerve
Houndoom,Dark,Fire,0229,500,75,90,50,110,80,95,"Early Bird, Flash Fire, Unnerve",Early Bird,Flash Fire,Unnerve
Houndoom Mega Houndoom,Dark,Fire,0229,600,75,90,90,140,90,115,Solar Power,Solar Power,,
Kingdra,Water,Dragon,0230,540,75,95,95,95,95,85,"Swift Swim, Sniper, Damp",Swift Swim,Sniper,Damp
Phanpy,Ground,,0231,330,90,60,60,40,40,40,"Pickup, Sand Veil",Pickup,,Sand Veil
Donphan,Ground,,0232,500,90,120,120,60,60,50,"Sturdy, Sand Veil",Sturdy,,Sand Veil
Porygon2,Normal,,0233,515,85,80,90,105,95,60,"Trace, Download, Analytic",Trace,Download,Analytic
Stantler,Normal,,0234,465,73,95,62,85,65,85,"Intimidate, Frisk, Sap Sipper",Intimidate,Frisk,Sap Sipper
Smeargle,Normal,,0235,250,55,20,35,20,45,75,"Own Tempo, Technician, Moody",Own Tempo,Technician,Moody
Tyrogue,Fighting,,0236,210,35,35,35,35,35,35,"Guts, Steadfast, Vital Spirit",Guts,Steadfast,Vital Spirit
Hitmontop,Fighting,,0237,455,50,95,95,35,110,70,"Intimidate, Technician, Steadfast",Intimidate,Technician,Steadfast
Smoochum,Ice,Psychic,0238,305,45,30,15,85,65,65,"Oblivious, Forewarn, Hydration",Oblivious,Forewarn,Hydration
Elekid,Electric,,0239,360,45,63,37,65,55,95,"Static, Vital Spirit",Static,,Vital Spirit
Magby,Fire,,0240,365,45,75,37,70,55,83,"Flame Body, Vital Spirit",Flame Body,,Vital Spirit
Miltank,Normal,,0241,490,95,80,105,40,70,100,"Thick Fat, Scrappy, Sap Sipper",Thick Fat,Scrappy,Sap Sipper
Blissey,Normal,,0242,540,255,10,10,75,135,55,"Natural Cure, Serene Grace, Healer",Natural Cure,Serene Grace,Healer
Raikou,Electric,,0243,580,90,85,75,115,100,115,"Pressure, Inner Focus",Pressure,,Inner Focus
Entei,Fire,,0244,580,115,115,85,90,75,100,"Pressure, Inner Focus",Pressure,,Inner Focus
Suicune,Water,,0245,580,100,75,115,90,115,85,"Pressure, Inner Focus",Pressure,,Inner Focus
Larvitar,Rock,Ground,0246,300,50,64,50,45,50,41,"Guts, Sand Veil",Guts,,Sand Veil
Pupitar,Rock,Ground,0247,410,70,84,70,65,70,51,Shed Skin,Shed Skin,,
Tyranitar,Rock,Dark,0248,600,100,134,110,95,100,61,"Sand Stream, Unnerve",Sand Stream,,Unnerve
Tyranitar Mega Tyranitar,Rock,Dark,0248,700,100,164,150,95,120,71,Sand Stream,Sand Stream,,
Lugia,Psychic,Flying,0249,680,106,90,130,90,154,110,"Pressure, Multiscale",Pressure,,Multiscale
Ho-oh,Fire,Flying,0250,680,106,130,90,110,154,90,"Pressure, Regenerator",Pressure,,Regenerator
Celebi,Psychic,Grass,0251,600,100,100,100,100,100,100,Natural Cure,Natural Cure,,
Treecko,Grass,,0252,310,40,45,35,65,55,70,"Overgrow, Unburden",Overgrow,,Unburden
Grovyle,Grass,,0253,405,50,65,45,85,65,95,"Overgrow, Unburden",Overgrow,,Unburden
Sceptile,Grass,,0254,530,70,85,65,105,85,120,"Overgrow, Unburden",Overgrow,,Unburden
Sceptile Mega Sceptile,Grass,Dragon,0254,630,70,110,75,145,85,145,Lightning Rod,Lightning Rod,,
Torchic,Fire,,0255,310,45,60,40,70,50,45,"Blaze, Speed Boost",Blaze,,Speed Boost
Combusken,Fire,Fighting,0256,405,60,85,60,85,60,55,"Blaze, Speed Boost",Blaze,,Speed Boost
Blaziken,Fire,Fighting,0257,530,80,120,70,110,70,80,"Blaze, Speed Boost",Blaze,,Speed Boost
Blaziken Mega Blaziken,Fire,Fighting,0257,630,80,160,80,130,80,100,Speed Boost,Speed Boost,,
Mudkip,Water,,0258,310,50,70,50,50,50,40,"Torrent, Damp",Torrent,,Damp
Marshtomp,Water,Ground,0259,405,70,85,70,60,70,50,"Torrent, Damp",Torrent,,Damp
Swampert,Water,Ground,0260,535,100,110,90,85,90,60,"Torrent, Damp",Torrent,,Damp
Swampert Mega Swampert,Water,Ground,0260,635,100,150,110,95,110,70,Swift Swim,Swift Swim,,
Poochyena,Dark,,0261,220,35,55,35,30,30,35,"Run Away, Quick Feet, Rattled",Run Away,Quick Feet,Rattled
Mightyena,Dark,,0262,420,70,90,70,60,60,70,"Intimidate, Quick Feet, Moxie",Intimidate,Quick Feet,Moxie
Zigzagoon,Normal,,0263,240,38,30,41,30,41,60,"Pickup, Gluttony, Quick Feet",Pickup,Gluttony,Quick Feet
Zigzagoon Galarian Zigzagoon,Dark,Normal,0263,240,38,30,41,30,41,60,"Pickup, Gluttony, Quick Feet",Pickup,Gluttony,Quick Feet
Linoone,Normal,,0264,420,78,70,61,50,61,100,"Pickup, Gluttony, Quick Feet",Pickup,Gluttony,Quick Feet
Linoone Galarian Linoone,Dark,Normal,0264,420,78,70,61,50,61,100,"Pickup, Gluttony, Quick Feet",Pickup,Gluttony,Quick Feet
Wurmple,Bug,,0265,195,45,45,35,20,30,20,"Shield Dust, Run Away",Shield Dust,,Run Away
Silcoon,Bug,,0266,205,50,35,55,25,25,15,Shed Skin,Shed Skin,,
Beautifly,Bug,Flying,0267,395,60,70,50,100,50,65,"Swarm, Rivalry",Swarm,,Rivalry
Cascoon,Bug,,0268,205,50,35,55,25,25,15,Shed Skin,Shed Skin,,
Dustox,Bug,Poison,0269,385,60,50,70,50,90,65,"Shield Dust, Compoundeyes",Shield Dust,,Compoundeyes
Lotad,Water,Grass,0270,220,40,30,30,40,50,30,"Swift Swim, Rain Dish, Own Tempo",Swift Swim,Rain Dish,Own Tempo
Lombre,Water,Grass,0271,340,60,50,50,60,70,50,"Swift Swim, Rain Dish, Own Tempo",Swift Swim,Rain Dish,Own Tempo
Ludicolo,Water,Grass,0272,480,80,70,70,90,100,70,"Swift Swim, Rain Dish, Own Tempo",Swift Swim,Rain Dish,Own Tempo
Seedot,Grass,,0273,220,40,40,50,30,30,30,"Chlorophyll, Early Bird, Pickpocket",Chlorophyll,Early Bird,Pickpocket
Nuzleaf,Grass,Dark,0274,340,70,70,40,60,40,60,"Chlorophyll, Early Bird, Pickpocket",Chlorophyll,Early Bird,Pickpocket
Shiftry,Grass,Dark,0275,480,90,100,60,90,60,80,"Chlorophyll, Early Bird, Pickpocket",Chlorophyll,Early Bird,Pickpocket
Taillow,Normal,Flying,0276,270,40,55,30,30,30,85,"Guts, Scrappy",Guts,,Scrappy
Swellow,Normal,Flying,0277,455,60,85,60,75,50,125,"Guts, Scrappy",Guts,,Scrappy
Wingull,Water,Flying,0278,270,40,30,30,55,30,85,"Keen Eye, Hydration, Rain Dish",Keen Eye,Hydration,Rain Dish
Pelipper,Water,Flying,0279,440,60,50,100,95,70,65,"Keen Eye, Drizzle, Rain Dish",Keen Eye,Drizzle,Rain Dish
Ralts,Psychic,Fairy,0280,198,28,25,25,45,35,40,"Synchronize, Trace, Telepathy",Synchronize,Trace,Telepathy
Kirlia,Psychic,Fairy,0281,278,38,35,35,65,55,50,"Synchronize, Trace, Telepathy",Synchronize,Trace,Telepathy
Gardevoir,Psychic,Fairy,0282,518,68,65,65,125,115,80,"Synchronize, Trace, Telepathy",Synchronize,Trace,Telepathy
Gardevoir Mega Gardevoir,Psychic,Fairy,0282,618,68,85,65,165,135,100,Pixilate,Pixilate,,
Surskit,Bug,Water,0283,269,40,30,32,50,52,65,"Swift Swim, Rain Dish",Swift Swim,,Rain Dish
Masquerain,Bug,Flying,0284,454,70,60,62,100,82,80,"Intimidate, Unnerve",Intimidate,,Unnerve
Shroomish,Grass,,0285,295,60,40,60,40,60,35,"Effect Spore, Poison Heal, Quick Feet",Effect Spore,Poison Heal,Quick Feet
Breloom,Grass,Fighting,0286,460,60,130,80,60,60,70,"Effect Spore, Poison Heal, Technician",Effect Spore,Poison Heal,Technician
Slakoth,Normal,,0287,280,60,60,60,35,35,30,Truant,Truant,,
Vigoroth,Normal,,0288,440,80,80,80,55,55,90,Vital Spirit,Vital Spirit,,
Slaking,Normal,,0289,670,150,160,100,95,65,100,Truant,Truant,,
Nincada,Bug,Ground,0290,266,31,45,90,30,30,40,"Compoundeyes, Run Away",Compoundeyes,,Run Away
Ninjask,Bug,Flying,0291,456,61,90,45,50,50,160,"Speed Boost, Infiltrator",Speed Boost,,Infiltrator
Shedinja,Bug,Ghost,0292,236,1,90,45,30,30,40,Wonder Guard,Wonder Guard,,
Whismur,Normal,,0293,240,64,51,23,51,23,28,"Soundproof, Rattled",Soundproof,,Rattled
Loudred,Normal,,0294,360,84,71,43,71,43,48,"Soundproof, Scrappy",Soundproof,,Scrappy
Exploud,Normal,,0295,490,104,91,63,91,73,68,"Soundproof, Scrappy",Soundproof,,Scrappy
Makuhita,Fighting,,0296,237,72,60,30,20,30,25,"Thick Fat, Guts, Sheer Force",Thick Fat,Guts,Sheer Force
Hariyama,Fighting,,0297,474,144,120,60,40,60,50,"Thick Fat, Guts, Sheer Force",Thick Fat,Guts,Sheer Force
Azurill,Normal,Fairy,0298,190,50,20,40,20,40,20,"Thick Fat, Huge Power, Sap Sipper",Thick Fat,Huge Power,Sap Sipper
Nosepass,Rock,,0299,375,30,45,135,45,90,30,"Sturdy, Magnet Pull, Sand Force",Sturdy,Magnet Pull,Sand Force
Skitty,Normal,,0300,260,50,45,45,35,35,50,"Cute Charm, Normalize, Wonder Skin ",Cute Charm,Normalize,Wonder Skin 
Delcatty,Normal,,0301,400,70,65,65,55,55,90,"Cute Charm, Normalize, Wonder Skin ",Cute Charm,Normalize,Wonder Skin 
Sableye,Dark,Ghost,0302,380,50,75,75,65,65,50,"Keen Eye, Stall, Prankster",Keen Eye,Stall,Prankster
Sableye Mega Sableye,Dark,Ghost,0302,480,50,85,125,85,115,20,Magic Bounce,Magic Bounce,,
Mawile,Steel,Fairy,0303,380,50,85,85,55,55,50,"Hyper Cutter, Intimidate, Sheer Force",Hyper Cutter,Intimidate,Sheer Force
Mawile Mega Mawile,Steel,Fairy,0303,480,50,105,125,55,95,50,Huge Power,Huge Power,,
Aron,Steel,Rock,0304,330,50,70,100,40,40,30,"Sturdy, Rock Head, Heavy Metal",Sturdy,Rock Head,Heavy Metal
Lairon,Steel,Rock,0305,430,60,90,140,50,50,40,"Sturdy, Rock Head, Heavy Metal",Sturdy,Rock Head,Heavy Metal
Aggron,Steel,Rock,0306,530,70,110,180,60,60,50,"Sturdy, Rock Head, Heavy Metal",Sturdy,Rock Head,Heavy Metal
Aggron Mega Aggron,Steel,,0306,630,70,140,230,60,80,50,Filter,Filter,,
Meditite,Fighting,Psychic,0307,280,30,40,55,40,55,60,"Pure Power, Telepathy",Pure Power,,Telepathy
Medicham,Fighting,Psychic,0308,410,60,60,75,60,75,80,"Pure Power, Telepathy",Pure Power,,Telepathy
Medicham Mega Medicham,Fighting,Psychic,0308,510,60,100,85,80,85,100,Pure Power,Pure Power,,
Electrike,Electric,,0309,295,40,45,40,65,40,65,"Static, Lightning Rod, Minus",Static,Lightning Rod,Minus
Manectric,Electric,,0310,475,70,75,60,105,60,105,"Static, Lightning Rod, Minus",Static,Lightning Rod,Minus
Manectric Mega Manectric,Electric,,0310,575,70,75,80,135,80,135,Intimidate,Intimidate,,
Plusle,Electric,,0311,405,60,50,40,85,75,95,"Plus, Lightning Rod",Plus,,Lightning Rod
Minun,Electric,,0312,405,60,40,50,75,85,95,"Minus, Volt Absorb",Minus,,Volt Absorb
Volbeat,Bug,,0313,430,65,73,75,47,85,85,"Illuminate, Swarm, Prankster",Illuminate,Swarm,Prankster
Illumise,Bug,,0314,430,65,47,75,73,85,85,"Oblivious, Tinted Lens, Prankster",Oblivious,Tinted Lens,Prankster
Roselia,Grass,Poison,0315,400,50,60,45,100,80,65,"Natural Cure, Poison Point, Leaf Guard",Natural Cure,Poison Point,Leaf Guard
Gulpin,Poison,,0316,302,70,43,53,43,53,40,"Liquid Ooze, Sticky Hold, Gluttony",Liquid Ooze,Sticky Hold,Gluttony
Swalot,Poison,,0317,467,100,73,83,73,83,55,"Liquid Ooze, Sticky Hold, Gluttony",Liquid Ooze,Sticky Hold,Gluttony
Carvanha,Water,Dark,0318,305,45,90,20,65,20,65,"Rough Skin, Speed Boost",Rough Skin,,Speed Boost
Sharpedo,Water,Dark,0319,460,70,120,40,95,40,95,"Rough Skin, Speed Boost",Rough Skin,,Speed Boost
Sharpedo Mega Sharpedo,Water,Dark,0319,560,70,140,70,110,65,105,Strong Jaw,Strong Jaw,,
Wailmer,Water,,0320,400,130,70,35,70,35,60,"Water Veil, Oblivious, Pressure",Water Veil,Oblivious,Pressure
Wailord,Water,,0321,500,170,90,45,90,45,60,"Water Veil, Oblivious, Pressure",Water Veil,Oblivious,Pressure
Numel,Fire,Ground,0322,305,60,60,40,65,45,35,"Oblivious, Simple, Own Tempo",Oblivious,Simple,Own Tempo
Camerupt,Fire,Ground,0323,460,70,100,70,105,75,40,"Magma Armor, Solid Rock, Anger Point",Magma Armor,Solid Rock,Anger Point
Camerupt Mega Camerupt,Fire,Ground,0323,560,70,120,100,145,105,20,Sheer Force,Sheer Force,,
Torkoal,Fire,,0324,470,70,85,140,85,70,20,"White Smoke, Drought, Shell Armor",White Smoke,Drought,Shell Armor
Spoink,Psychic,,0325,330,60,25,35,70,80,60,"Thick Fat, Own Tempo, Gluttony",Thick Fat,Own Tempo,Gluttony
Grumpig,Psychic,,0326,470,80,45,65,90,110,80,"Thick Fat, Own Tempo, Gluttony",Thick Fat,Own Tempo,Gluttony
Spinda,Normal,,0327,360,60,60,60,60,60,60,"Own Tempo, Tangled Feet, Contrary",Own Tempo,Tangled Feet,Contrary
Trapinch,Ground,,0328,290,45,100,45,45,45,10,"Hyper Cutter, Arena Trap, Sheer Force",Hyper Cutter,Arena Trap,Sheer Force
Vibrava,Ground,Dragon,0329,340,50,70,50,50,50,70,Levitate,Levitate,,
Flygon,Ground,Dragon,0330,520,80,100,80,80,80,100,Levitate,Levitate,,
Cacnea,Grass,,0331,335,50,85,40,85,40,35,"Sand Veil, Water Absorb",Sand Veil,,Water Absorb
Cacturne,Grass,Dark,0332,475,70,115,60,115,60,55,"Sand Veil, Water Absorb",Sand Veil,,Water Absorb
Swablu,Normal,Flying,0333,310,45,40,60,40,75,50,"Natural Cure, Cloud Nine",Natural Cure,,Cloud Nine
Altaria,Dragon,Flying,0334,490,75,70,90,70,105,80,"Natural Cure, Cloud Nine",Natural Cure,,Cloud Nine
Altaria Mega Altaria,Dragon,Fairy,0334,590,75,110,110,110,105,80,Pixilate,Pixilate,,
Zangoose,Normal,,0335,458,73,115,60,60,60,90,"Immunity, Toxic Boost",Immunity,,Toxic Boost
Seviper,Poison,,0336,458,73,100,60,100,60,65,"Shed Skin, Infiltrator",Shed Skin,,Infiltrator
Lunatone,Rock,Psychic,0337,460,90,55,65,95,85,70,Levitate,Levitate,,
Solrock,Rock,Psychic,0338,460,90,95,85,55,65,70,Levitate,Levitate,,
Barboach,Water,Ground,0339,288,50,48,43,46,41,60,"Oblivious, Anticipation, Hydration",Oblivious,Anticipation,Hydration
Whiscash,Water,Ground,0340,468,110,78,73,76,71,60,"Oblivious, Anticipation, Hydration",Oblivious,Anticipation,Hydration
Corphish,Water,,0341,308,43,80,65,50,35,35,"Hyper Cutter, Shell Armor, Adaptability",Hyper Cutter,Shell Armor,Adaptability
Crawdaunt,Water,Dark,0342,468,63,120,85,90,55,55,"Hyper Cutter, Shell Armor, Adaptability",Hyper Cutter,Shell Armor,Adaptability
Baltoy,Ground,Psychic,0343,300,40,40,55,40,70,55,Levitate,Levitate,,
Claydol,Ground,Psychic,0344,500,60,70,105,70,120,75,Levitate,Levitate,,
Lileep,Rock,Grass,0345,355,66,41,77,61,87,23,"Suction Cups, Storm Drain",Suction Cups,,Storm Drain
Cradily,Rock,Grass,0346,495,86,81,97,81,107,43,"Suction Cups, Storm Drain",Suction Cups,,Storm Drain
Anorith,Rock,Bug,0347,355,45,95,50,40,50,75,"Battle Armor, Swift Swim",Battle Armor,,Swift Swim
Armaldo,Rock,Bug,0348,495,75,125,100,70,80,45,"Battle Armor, Swift Swim",Battle Armor,,Swift Swim
Feebas,Water,,0349,200,20,15,20,10,55,80,"Swift Swim, Oblivious, Adaptability",Swift Swim,Oblivious,Adaptability
Milotic,Water,,0350,540,95,60,79,100,125,81,"Marvel Scale, Competitive, Cute Charm",Marvel Scale,Competitive,Cute Charm
Castform,Normal,,0351,420,70,70,70,70,70,70,Forecast,Forecast,,
Castform Sunny Form,Fire,,0351,420,70,70,70,70,70,70,Forecast,Forecast,,
Castform Rainy Form,Water,,0351,420,70,70,70,70,70,70,Forecast,Forecast,,
Castform Snowy Form,Ice,,0351,420,70,70,70,70,70,70,Forecast,Forecast,,
Kecleon,Normal,,0352,440,60,90,70,60,120,40,"Color Change, Protean",Color Change,,Protean
Shuppet,Ghost,,0353,295,44,75,35,63,33,45,"Insomnia, Frisk, Cursed Body",Insomnia,Frisk,Cursed Body
Banette,Ghost,,0354,455,64,115,65,83,63,65,"Insomnia, Frisk, Cursed Body",Insomnia,Frisk,Cursed Body
Banette Mega Banette,Ghost,,0354,555,64,165,75,93,83,75,Prankster,Prankster,,
Duskull,Ghost,,0355,295,20,40,90,30,90,25,"Levitate, Frisk",Levitate,,Frisk
Dusclops,Ghost,,0356,455,40,70,130,60,130,25,"Pressure, Frisk",Pressure,,Frisk
Tropius,Grass,Flying,0357,460,99,68,83,72,87,51,"Chlorophyll, Solar Power, Harvest",Chlorophyll,Solar Power,Harvest
Chimecho,Psychic,,0358,455,75,50,80,95,90,65,Levitate,Levitate,,
Absol,Dark,,0359,465,65,130,60,75,60,75,"Pressure, Super Luck, Justified",Pressure,Super Luck,Justified
Absol Mega Absol,Dark,,0359,565,65,150,60,115,60,115,Magic Bounce,Magic Bounce,,
Wynaut,Psychic,,0360,260,95,23,48,23,48,23,"Shadow Tag, Telepathy",Shadow Tag,,Telepathy
Snorunt,Ice,,0361,300,50,50,50,50,50,50,"Inner Focus, Ice Body, Moody",Inner Focus,Ice Body,Moody
